,time,location,pressure,temperature_time,temperature,conductivity_time,conductivity,oxygen_time,oxygen,salinity_psu,oxygen_mlL,depth
0,2023-10-09 12:56:53,POINT(10.974112 53.998308),1199.34082,2023-10-09 12:56:53,15.1743565,2023-10-09 12:56:53,20.6117668,2023-10-09 12:56:53,158.0,15.295016582233824,4.136642842737324,-1.863408199999999
1,2023-10-09 12:56:54,POINT(10.974112 53.998308),1210.021973,2023-10-09 12:56:54,15.1756334,2023-10-09 12:56:54,20.6132603,2023-10-09 12:56:54,160.0,15.293867295302823,4.183020045949425,-1.9702197299999988
2,2023-10-09 12:56:56,POINT(10.974112 53.998308),1199.34082,2023-10-09 12:56:56,15.1730051,2023-10-09 12:56:56,20.6117668,2023-10-09 12:56:56,160.0,15.295533347450249,4.189100369740581,-1.863408199999999
3,2023-10-09 12:56:57,POINT(10.974112 53.998308),1210.021973,2023-10-09 12:56:57,15.1715155,2023-10-09 12:56:57,20.6102734,2023-10-09 12:56:57,160.0,15.293020308340031,4.1833710621249836,-1.9702197299999988
4,2023-10-09 12:56:58,POINT(10.974112 53.998308),1206.970215,2023-10-09 12:56:58,15.1713047,2023-10-09 12:56:58,20.6087799,2023-10-09 12:56:58,160.0,15.292424790844134,4.1850918553853145,-1.9397021500000005
5,2023-10-09 12:57:00,POINT(10.974112 53.998308),1210.021973,2023-10-09 12:57:00,15.1717997,2023-10-09 12:57:00,20.6072865,2023-10-09 12:57:00,160.0,15.290490332354697,4.1834132676154745,-1.9702197299999988
6,2023-10-09 12:57:01,POINT(10.974113 53.998308),1202.392578,2023-10-09 12:57:01,15.1701679,2023-10-09 12:57:01,20.6080322,2023-10-09 12:57:01,160.0,15.293055443784532,4.187700929036109,-1.8939257799999996
7,2023-10-09 12:57:02,POINT(10.974113 53.998308),1203.918457,2023-10-09 12:57:02,15.1720839,2023-10-09 12:57:02,20.6095257,2023-10-09 12:57:02,160.0,15.29326626282739,4.186697202562781,-1.9091845699999999
8,2023-10-09 12:57:04,POINT(10.974113 53.998308),1182.556152,2023-10-09 12:57:04,15.1705217,2023-10-09 12:57:04,20.6072865,2023-10-09 12:57:04,160.0,15.29579535072346,4.198601690885327,-1.6955615200000012
9,2023-10-09 12:57:05,POINT(10.974113 53.998308),1176.452637,2023-10-09 12:57:05,15.1713734,2023-10-09 12:57:05,20.6072865,2023-10-09 12:57:05,160.0,15.296541436516904,4.201904254083825,-1.634526370000001
10,2023-10-09 12:57:07,POINT(10.974114 53.998308),1145.935059,2023-10-09 12:57:07,15.1725092,2023-10-09 12:57:07,20.6095257,2023-10-09 12:57:07,160.0,15.303290884360857,4.218629854981132,-1.329350589999999
11,2023-10-09 12:57:08,POINT(10.974114 53.998308),1080.322266,2023-10-09 12:57:08,15.1624985,2023-10-09 12:57:08,20.6050472,2023-10-09 12:57:08,160.0,15.315083465910869,4.255902351973871,-0.673222659999999
12,2023-10-09 12:57:09,POINT(10.974114 53.998308),1033.02002,2023-10-09 12:57:09,15.1595888,2023-10-09 12:57:09,20.6013126,2023-10-09 12:57:09,160.0,15.321565519631312,4.2826778656864715,-0.2002001999999993
13,2023-10-09 12:57:11,POINT(10.974114 53.998309),1029.968262,2023-10-09 12:57:11,15.1617193,2023-10-09 12:57:11,20.600565,2023-10-09 12:57:11,160.0,15.320683331241257,4.2842545800449745,-0.16968262000000095
14,2023-10-09 12:57:12,POINT(10.974114 53.998309),1068.115234,2023-10-09 12:57:12,15.1557579,2023-10-09 12:57:12,20.5998173,2023-10-09 12:57:12,160.0,15.3155860417057,4.263316539928391,-0.551152340000001
15,2023-10-09 12:57:14,POINT(10.974114 53.998309),1181.030273,2023-10-09 12:57:14,15.1689587,2023-10-09 12:57:14,20.6065407,2023-10-09 12:57:14,160.0,15.2960563524199,4.19956784241233,-1.6803027300000009
16,2023-10-09 12:57:15,POINT(10.974114 53.998309),1301.574707,2023-10-09 12:57:15,15.1854286,2023-10-09 12:57:15,20.6334248,2023-10-09 12:57:15,160.0,15.290484808754732,4.131995304328642,-2.88574707
17,2023-10-09 12:57:16,POINT(10.974114 53.998309),1414.489746,2023-10-09 12:57:16,15.2421227,2023-10-09 12:57:16,20.7103443,2023-10-09 12:57:16,160.0,15.311520132751157,4.065848576908452,-4.014897459999999
18,2023-10-09 12:57:18,POINT(10.974114 53.998309),1525.878906,2023-10-09 12:57:18,15.3744221,2023-10-09 12:57:18,20.9022713,2023-10-09 12:57:18,160.0,15.396669560959756,3.9943136871442406,-5.128789059999999
19,2023-10-09 12:57:19,POINT(10.974114 53.998309),1605.224609,2023-10-09 12:57:19,15.5299254,2023-10-09 12:57:19,21.1210823,2023-10-09 12:57:19,159.0,15.499441770904824,3.914008965187693,-5.922246090000001
20,2023-10-09 12:57:21,POINT(10.974114 53.998309),1670.837402,2023-10-09 12:57:21,15.6650133,2023-10-09 12:57:21,21.6386147,2023-10-09 12:57:21,156.0,15.850863029053048,3.789261983607999,-6.578374020000001
21,2023-10-09 12:57:22,POINT(10.974114 53.998309),1730.34668,2023-10-09 12:57:22,15.748045,2023-10-09 12:57:22,22.0851994,2023-10-09 12:57:22,154.0,16.165619282699492,3.6985545436880347,-7.173466800000001
22,2023-10-09 12:57:23,POINT(10.974114 53.998309),1776.123047,2023-10-09 12:57:23,15.6907415,2023-10-09 12:57:23,22.3577786,2023-10-09 12:57:23,152.0,16.39925486460686,3.627218168559316,-7.63123047
23,2023-10-09 12:57:25,POINT(10.974114 53.998309),1832.580566,2023-10-09 12:57:25,15.6755476,2023-10-09 12:57:25,22.7722511,2023-10-09 12:57:25,149.0,16.72866385846593,3.5231231836146564,-8.195805660000001
24,2023-10-09 12:57:26,POINT(10.974114 53.998309),1843.261719,2023-10-09 12:57:26,15.7403441,2023-10-09 12:57:26,22.8611183,2023-10-09 12:57:26,146.0,16.771488314439445,3.4422845404453284,-8.302617190000001
25,2023-10-09 12:57:28,POINT(10.974114 53.998309),1908.874512,2023-10-09 12:57:28,15.8245239,2023-10-09 12:57:28,23.6258411,2023-10-09 12:57:28,138.0,17.339371843485583,3.2094522550095155,-8.958745120000001
26,2023-10-09 12:57:29,POINT(10.974114 53.998309),1968.383789,2023-10-09 12:57:29,15.9025087,2023-10-09 12:57:29,24.2845154,2023-10-09 12:57:29,133.0,17.825045156328663,3.0555089229287122,-9.55383789
27,2023-10-09 12:57:30,POINT(10.974114 53.998309),1974.487305,2023-10-09 12:57:30,15.9069529,2023-10-09 12:57:30,24.3226013,2023-10-09 12:57:30,130.0,17.85263972055827,2.983438405953648,-9.614873050000002
28,2023-10-09 12:57:32,POINT(10.974114 53.998309),2021.789551,2023-10-09 12:57:32,15.9179583,2023-10-09 12:57:32,24.4107246,2023-10-09 12:57:32,129.0,17.909956830685548,2.9404528493434325,-10.087895510000001
29,2023-10-09 12:57:33,POINT(10.974114 53.998309),2043.151855,2023-10-09 12:57:33,15.921628,2023-10-09 12:57:33,24.4353676,2023-10-09 12:57:33,128.0,17.924203288749542,2.9090007739855595,-10.30151855
30,2023-10-09 12:57:35,POINT(10.974114 53.998309),2081.298828,2023-10-09 12:57:35,15.9238138,2023-10-09 12:57:35,24.4488125,2023-10-09 12:57:35,127.0,17.92696380962893,2.871625035578431,-10.68298828
